task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
4a91bc2f-project-defaults	Project-level default color + canvas bg in project settings	Backlog	Low	Feature Request	Front Page			Expose globalLineColor, globalGradientEnabled/Stops, globalStrokeWeight, and canvas background color in the project settings page (project view). The fields already exist in the Project type and the layer factory honors globalStyleEnabled, but there is no UI to set them per-project. Default for a new project should be: lineColor=#ffffff, background=#000000 (white on black). Until this lands, new layers fall back to white via the createDefaultLayer fallback in useStore.ts.	2026-04-27 19:35:00	
9b580978-860b-42f8-b0e8-7f9c63e62db7	create MCP for app to generate or edit animations in claude	Backlog							2026-04-26 13:49:22	
cba85fb2-f61a-4cc0-a4c6-b9fd63f2353c	create a project defaults settings that  allows me to set default colors, zoom level etc when creating a new project\n\nadd as gear in folder/thumbnail view next to sign in	Do Next							2026-04-28 10:29:30	
3bff9679-9158-46f6-b1be-1684c1def70b	duplicate folder option, 	Do Next							2026-04-28 10:30:54	
local-1777824000000-1001	Asset-based shapes rebuild (active initiative)	In Progress	High	Feature Request	General	Unassigned		Migrate legacy astrology/amino/iching shape types to a unified asset-based system. Plan in plan-asset-based-shapes.md; see also docs/project.md.	2026-04-25 21:30:00	
local-1777824000000-1007	Asset rebuild Stage G — Cleanup, retire legacy types + custom	In Progress	Medium	Technical Debt	General	Unassigned	Asset-based shapes rebuild (active initiative)	Branch feat/asset-cleanup-stage-g. Audit SQL added in 4215559. Pending: run the audit against Supabase, confirm no rows reference astrology / amino / iching_lines, then delete those legacy code paths and auto-convert remaining custom layers to asset_single.	2026-04-25 21:30:00	
1213387118254089	Add key frame to group is not working properly (maybe dont' fix)	Research & Plan	Medium	Bug	Timeline	Unassigned			2026-02-22 15:41:32	
1213783121489129	Show Canvas and background  in different colors	Research & Plan	Medium	Feature Request		Alexa		It's confusing where the canvas ends and the background starts. They have the same color. Background will be applied manually for the canvas, but for the background behind the canvas that is not part of the animation, use a subtle light checkered pattern to distinguish it. Very subtle.	2026-03-24 22:31:11	
1213387118254127	Add cleaner to export features to remove all empty variables	Research & Plan	Low	Technical Debt	Animation Variables	Unassigned		How you would implement this\nTo do this safely without corrupting data, you shouldn't just drop all zeroes, because sometimes a user explicitly wants a property to be 0 when its default is 100 (like opacity).\nInstead, you would write a small "cleaner" function right before generating the JSON payload:\n    When saving, the function compares the layer's properties against DEFAULT_ANIMATABLES.\n    Map over the data and\n    delete any property key where currentValue === defaultValue.\n    When loading the JSON back into the app, you simply run const mergedData = { ...DEFAULT_ANIMATABLES, ...savedData }.\nBecause we just set up fallback ?? 0 checks everywhere in the rendering logic (and established DEFAULT_ANIMATABLES in your store), your current codebase is practically ready to support this sparse data structure right now if you ever decide to write that cleanup function!	2026-02-22 19:08:43	
1213422319914144	not obvious that layers are nested in folders in timeline, make foldeers less indented	Research & Plan	Low	Feature Request	Timeline	Unassigned			2026-02-24 11:42:57	
1213070073876350	Add mouse controller for realtime animation	Research & Plan		Ideas	Canvas	Unassigned		Enhancement: Ability to add mouse controller to the animation for realtime playfulness.\n\nExpected Behavior: Users should be able to control animation parameters in real-time using mouse input, creating interactive and playful animation experiences.\n\n\nExplore binding mouse to different parameters\n\nCreate a panel that has a toggle for turning on mouse cnrol\n\nand offer a list of parameters to toggle and the layers it affects\n\nin the project view	2026-02-01 15:50:21	
1213422319914141	add offset to space x and y so it moves away from center	Research & Plan		Feature Request		Unassigned			2026-02-24 11:32:18	
local-1777824000000-1011	Auth redirectTo on v2 password reset	Need Testing	High	Bug	General	Unassigned		Fixed: AuthModal.tsx now passes redirectTo: window.location.origin on resetPasswordForEmail, and emailRedirectTo on signUp (the signup confirmation email was also missing the override and would have routed to v1). Both call sites covered.	2026-04-25 21:30:00	
1213422319914133	when deletein the first keyframe with double click, Ican't get it back	Need Testing	High	Bug	Timeline	Unassigned		Fixed: addKeyframe crashed when called on a layer with zero keyframes (couldn't read .value of undefined). Now seeds from DEFAULT_ANIMATABLES. Cmd+Z also works to undo the delete. Original fix in commit a4fecb9; the status/notes were lost in the 1683c27 merge tasks.tsv conflict resolution and re-applied here.	2026-02-24 11:14:51	
1213589928739644	Missing ability to create and save global colors and gradients to apply	Need Testing	Medium	Feature Request	Animation Variables	Alexa		Implemented as a per-browser palette in localStorage (keys v2-saved-colors, v2-saved-gradients). Cross-device sync would need a v1 migration for a new user_palettes table — deferred.\n\nCustomColorPicker (popover that drives every color field in Inspector) gets a Saved row at the bottom: + button saves the current color, click a swatch to apply, hover X to delete. The + is disabled when the current color is already saved.\n\nGradientEditor gets a Saved Gradients row at the top with the same + / click-to-apply / hover-X pattern. Apply re-ids the stops so each application gets a fresh editable copy.	2026-03-10 10:41:53	
local-1777129968013-425217	confusing animation entry point	Need Testing	Medium	Feature Request	Canvas	Unassigned		starting a new project is confusing\n\nuser has to know to click on first keyframe to start animation process\n\nit needs instructions and to tell a user to click to edit, or automatically start on key frame and editing mode instead of general properties mode\n\napp needs a little guidance\n	2026-04-25 15:12:48	
fb0e4d68-64f7-445f-8f3d-7500f961597a	Change default thumbnail capture to 10s into animation instead of 1st frame	Need Testing	Medium	UX/UI	File System	Unassigned	project thumbnail view	Implemented: routed all 3 thumbnail-capture call sites (saveProject auto-snapshot, TopBar Set-thumbnail button, regenerateAllProjectThumbnails) through a new store action captureCurrentProjectThumbnail(). It seeks currentTime to min(10, project.duration), pauses if playing, awaits 2 RAFs so GeometryPlayer re-renders Pixi at the new time, extracts the canvas, then restores currentTime + isPlaying. Constant PROJECT_THUMBNAIL_CAPTURE_TIME at top of useStore.ts. Verify: short animation (<10s) captures at duration; long animation captures at 10s; live editing playhead is restored after auto-save snapshot; regenerate-all dashboard utility produces non-blank thumbs.	2026-04-26 14:59:23	
2423197c-fa53-4428-85d0-2f06f05d5242	project thumbnail view	Need Testing	Medium	UX/UI	File System	Unassigned		Implemented in two phases.\n\nPhase 1 (commit 0aca4e4): saveProject snapshots the live Pixi canvas to a 320x180 PNG and uploads to v2-user-assets at {user_id}/_project-thumbnails/{id}.png. fetchProjects lists the prefix and signed-URLs the results into projectThumbnails. deleteProject best-effort removes the orphan.\n\nPhase 2: Dashboard now has a list/grid view-mode toggle (top-right of the search box), a resizable divider between sidebar and preview, and defaults to grid mode with ~780px sidebar (list mode defaults to ~420px). View mode + sidebar width persist in localStorage. Grid mode shows projects as cards with thumbnail + name + last-edited; folders intentionally hidden in grid mode (manage them in list mode).	2026-04-25 22:05:10	
1213589928739695	add URL in app for animations so you can "direct link" to any animation and preview it	Need Testing	Medium	Feature Request	General	Alexa		Implemented as ?p=<projectId> query param. App.tsx parses the URL on auth resolve and calls loadProject; a store subscription mirrors project.id back to the URL via replaceState whenever the editor opens / closes a project. TopBar > project dropdown gets a new 'Copy Link' item that puts the share URL on the clipboard. Open in editor view by default; preview-only / chrome-less view is a separate task if needed later.	2026-03-10 15:15:02	
1213589928739650	there is a small bug, when I switch shape from SVG to polygon, it doesn't switch to polygon, it stays as SVG	Need Testing	Low	Bug	Animation Variables	Alexa		Fixed: type-switcher dropdown wasn't clearing customPath/customPaths from the layer config, so the polygon renderer's custom-shape branch kept drawing the SVG. Now clears them on switch.	2026-03-10 11:13:15	
fc2299f7-0216-4b7e-83a3-c01a58bffe6f	fix SVGs	Need Testing		Bug	Animation Variables			Fixed: SVG assets now render as vector via Pixi v8 GraphicsContext (parsed from source) instead of being rasterized through the SVG-to-canvas path. Compound paths + fill-rule="evenodd" knockouts survive intact. Recoloring still works — svgRecolor rewrites paint attrs in the source string before parsing into the context. PNG/JPEG assets keep the existing Sprite path. Also softened SVGO (disabled mergePaths + convertShapeToPath) so compound subpaths don't get flattened during upload optimization.\n\nFiles: App/src/rendering/AssetCache.ts (new getGraphicsContextSync + getMimeType, separate texture/context caches), App/src/rendering/GeometryRenderer.ts (SVG branch creates new Graphics(ctx) sized via getLocalBounds), App/src/utils/assetOptimizer.ts (SVGO overrides). Player bundle rebuilt.\n\nKnown limits: PixiJS v8 SVG parser doesn't support <clipPath>, <mask>, filters, gradient transforms, or <text>. Watch for assets using those — if any look wrong, file a follow-up.	2026-04-27 18:30:00	
e3a3b7a8-55f5-4e51-bdb5-06ced36b1635	fix color	Need Testing		Bug	Animation Variables			Collapsed STROKE / FILL / GRADIENT into a single "Color" selector with a Flat | Gradient mode toggle. The single value writes to both strokeColor and fillColor in lockstep so primitives + SVG recoloring share one source of truth. Stroke is forced on whenever the unified UI writes (so a layer can never become invisible). The "Filled" toggle is now demoted to a small switch at the bottom of the Style menu — defaults off (rarely used).\n\nAlso fixed the "uploaded SVGs render with weird fills when stroke is on by default" bug: svgRecolor now walks with inherited paint context and only recolors paint regions that already exist on a node (or are inherited from an ancestor). SVG defaults — fill=black, stroke=none — mean stroke-only icons no longer pick up an unwanted fill, and fill-only icons no longer pick up an unwanted stroke.\n\nDefault new-layer color changed from #7a7a7a to #ffffff; fillColor now syncs to strokeColor at layer creation.\n\nFiles: App/src/components/Inspector.tsx (UI collapse), App/src/utils/svgRecolor.ts (inherited-paint walk), App/src/store/useStore.ts (new-layer defaults).\n\nNo data migration: old layers keep whatever stroke/fill/gradient values they had until edited. Editing any color in the new UI snaps strokeColor + fillColor to the same value.	2026-04-27 19:30:17	
1213387118254119	Missign being able to rotate Groups	Completed	Critical	Enhancement	Animation Variables	Unassigned			2026-02-22 18:55:13	2026-02-23 09:27:55
1213152762510383	Missing Recursive Rotation where every intances is rotated a bit more (like offset)	Completed	Critical	Enhancement	Animation Variables	Unassigned			2026-02-06 17:51:13	2026-02-23 16:13:31
1213152762510386	New folders appear at th bottom at first and then appear at top only when you refresh	Completed	Critical	Bug	File System	Unassigned			2026-02-06 18:13:51	2026-02-23 15:06:38
1213070081766424	Fix database connection timeout	Completed	Critical	Bug		Unassigned		Resolve intermittent database connection timeouts during peak usage hours.	2026-02-01 15:37:09	2026-02-05 22:26:23
1213409303569208	if a drag a layer bar past the begining or the end of the timeline, I lose it... it should stop before going over	Completed	Critical	Bug		Unassigned			2026-02-23 18:09:06	2026-02-23 19:31:23
local-1777824000000-1004	Asset rebuild Stage C — asset_set / asset_single shape types + renderer	Completed	High	Feature Request	Animation Variables	Unassigned	Asset-based shapes rebuild (active initiative)	Branch feat/asset-shapes-stage-c. Shipped in 44a96cd. New ShapeType values, AssetCache, Pixi Sprite rendering for rasters.	2026-04-25 21:30:00	2026-04-25 21:30:00
local-1777824000000-1005	Asset rebuild Stage D — Inspector asset picker (+ Stage E auto-layout)	Completed	High	Feature Request	Animation Variables	Unassigned	Asset-based shapes rebuild (active initiative)	Branch feat/asset-inspector-stage-d. Shipped in 36fbb21. Replaced astrology/amino/iching pulldown with asset picker; radial-vs-linear defaults landed in a29de18 (PNG fill via ColorOverlayFilter + asset_set radial defaults).	2026-04-25 21:30:00	2026-04-25 21:30:00
1213142145201267	HEX make color pick default to a hex value -->	Completed	High	UX/UI	Animation Variables	Unassigned		Currently I can select between RGB HSL and HEX in a pulldown\nthe pulldown should default to hex instead of RGB	2026-02-05 17:14:10	2026-02-23 19:29:30
1213387118254124	Set Default Colors  and lines for new layers in Project Settings	Completed	High		Animation Variables	Unassigned			2026-02-22 19:08:24	2026-02-23 17:52:03
local-1777129650415-3652	optimize player files	Completed	High	Feature Request	Exporters	Unassigned		I want to optimize file sizes in exporter so they are as small as can possibly be\n\nI added a bunch of effects like blur etc which I believe bloated the player file and are rarly used\n\ncan you add detection to see if filter are used in a project, and which ones, and export those filters as seperate player JS files, either individually or grouped\n\nthe vast majority of animations don't use them and we want uploaded player to be as optimized as possible\n\nand some fall back meassure if using an animation that has them, but the player doesn't so it doesn't break, or maybe gives an error message	2026-04-25 15:07:30	2026-04-25 16:27:55
local-1777824000000-1002	Asset rebuild Stage A — Asset CRUD store layer	Completed	High	Feature Request	General	Unassigned	Asset-based shapes rebuild (active initiative)	Branch feat/asset-store-stage-a. Shipped in 1e44753 (asset_folders + assets CRUD in zustand store). DOMPurify-backed sanitizeSvgFile gates every SVG upload in uploadAsset.	2026-04-25 21:30:00	2026-04-25 21:30:00
local-1777824000000-1003	Asset rebuild Stage B — Asset Library UI	Completed	High	Feature Request	General	Unassigned	Asset-based shapes rebuild (active initiative)	Branch feat/asset-library-ui-stage-b. Shipped in aa34b36 (Asset Library UI in Dashboard). Drag-drop folder upload + thumbnail grid.	2026-04-25 21:30:00	2026-04-25 21:30:00
local-1777824000000-1006	Asset rebuild Stage F — Seed folders + project migration	Completed	High	Feature Request	General	Unassigned	Asset-based shapes rebuild (active initiative)	Branch feat/asset-seed-migration-stage-f. Shipped in 1db6bc4. Seeds Astrology / Amino Acids / I-Ching Strokes folders on first login; rewrites legacy layer types to asset_set on project load.	2026-04-25 21:30:00	2026-04-25 21:30:00
1213070081766422	Login authentication fails on mobile app	Completed	High	Bug	Timeline	Unassigned		Users report unable to log in using mobile app on iOS devices. Error message appears after entering credentials.	2026-02-01 15:37:08	2026-02-01 15:49:00
1213103523813983	change the way groups work. I don't need to select to layers to group	Completed	High		Timeline	Unassigned		Instead of selecting two layers and grouping with an icon for grouping selected layers\n\nIt should work like this\nand icon in the header of layer names should be a create folder icon\nClicking on it create a folder at the top of the stack\nI will then be able to drag layers in and out of that folder\n\nI won't need the ungroup selected layers icon; I can simply drag them out	2026-02-03 20:33:08	2026-02-23 19:29:38
1213070081766426	Update deprecated API endpoints	Completed	High	Technical Debt		Unassigned		Replace legacy API calls with current version endpoints to maintain compatibility.	2026-02-01 15:37:09	2026-02-01 16:23:35
1213783121489114	extract aminos and horoscope from player code ---->	Completed	High			Gustavo & Team			2026-03-24 22:27:22	2026-04-22 18:41:30
local-1776955457607-986929	re-order assets in folders	Completed	High			Unassigned		Give me the ability to reorder assets in the folders so that they appear in a manually ordered sequence and not just by file name or however they are ordered right now. 	2026-04-23 14:44:17	2026-04-25 16:29:28
1213783121489123	remove filters an d minify PIXXiJS	Completed	High			Gustavo & Team			2026-03-24 22:29:06	2026-04-25 16:28:37
1213070073876362	Label multiple "rotation" controls for clairty	Completed	Medium	UX/UI	Animation Variables	Unassigned			2026-02-01 15:50:24	2026-04-25 16:29:41
1213103502476659	instances - Add rotating difference from one instance to the next	Completed	Medium	Enhancement	Animation Variables	Unassigned			2026-02-03 18:30:49	2026-02-23 16:45:55
1213142138288927	instances - progresion -->	Completed	Medium	Bug	Animation Variables	Unassigned		isn't working in OFFSET mode\nit works for radial \n\n \n\n\nwhen offsetting it's already add x size\nprogression does the same, adding x, it's not adding as a progressive multiplier, just a normal multiplier	2026-02-05 17:00:41	2026-02-23 16:46:13
local-1777824000000-1009	Asset output optimizer — pre-upload compression	Completed	Medium	Feature Request	General	Unassigned		Compress SVGs (SVGO), PNGs (pngquant / sharp), JPEGs (mozjpeg) before upload. Shipped in 24d6937 (Compress asset uploads before Storage) + 66597db (Merge feat/asset-upload-optimizer). The 10MB bucket cap is the ceiling, not a target; aim ~200KB steady-state.	2026-04-25 21:30:00	2026-04-25 21:30:00
1213070081766423	Implement dark mode toggle	Completed	Medium	Feature Request		Unassigned		Add user preference setting for dark/light mode theme switching in application settings.	2026-02-01 15:37:09	2026-02-05 22:26:20
1213070081766425	Optimize search algorithm performance	Completed	Medium	Enhancement		Unassigned		Improve search functionality response time by implementing better indexing and caching strategies.	2026-02-01 15:37:09	2026-02-05 22:26:24
1213409303569203	allow keyframes to be resorted in timeline	Completed	Medium	UX/UI		Unassigned			2026-02-23 17:45:15	2026-02-23 19:31:16
1213152751327497	Add Export button to editor	Completed	Low	UX/UI	Canvas	Unassigned			2026-02-06 15:15:36	2026-02-23 18:13:28
1213070073876378	Fix react export	Completed	Low	Technical Debt	Exporters	Unassigned			2026-02-01 16:22:31	2026-04-26 14:34:06
1213387118254136	I need a library of "layer" animation I can copy over into current animation	Completed	Low		General	Unassigned			2026-02-22 19:51:10	2026-04-22 18:42:39
1213142138288915	Set default project state When starting a new project either don't add a layer or default to first frame of layer one pre-selected	Completed	Low		General	Unassigned			2026-02-05 16:29:36	2026-04-26 14:34:15
1213387118254111	Export should be avaiable within Editor	Completed	Low	UX/UI	Timeline	Unassigned			2026-02-22 17:34:26	2026-02-23 18:13:35
1213103502476652	if I move first keyframe without having and second keyframe shape disappears	Completed	Low	Bug	Timeline	Unassigned			2026-02-03 18:07:10	2026-02-22 15:42:03
1213070073876329	Fix project duplication placement	Completed	Low			Unassigned		Issue: When duplicating a project it should go right below the original if it's in a folder then in the same folder.\n\nCurrent Behavior: Duplicated projects may not appear in the expected location relative to the original.\n\nExpected Behavior: \n\n    Duplicated project should appear immediately below the original project\n    If original is in a folder, duplicate should be placed in the same folder\n    Maintain hierarchical organization during duplication	2026-02-01 15:49:03	2026-02-23 19:32:07
1213409303569215	fix undo so it doesnt' go through micor values	Completed	Low	UX/UI		Unassigned			2026-02-23 18:36:40	2026-02-23 19:31:06
1213409298716092	i was just able to delete folders a second ago, and I did, but now the option is gone, even when i refresh	Completed	Low	Bug		Unassigned			2026-02-23 15:09:41	2026-02-23 19:31:02
1213103502476656	put prog and offset in same line. order offset - prog with little arrow between  (under spread and rotate)	Completed			Animation Variables	Unassigned			2026-02-03 18:30:35	2026-02-06 18:16:57
1213070073876375	Fix HTML exporter	Completed		Technical Debt	Exporters	Unassigned			2026-02-01 16:22:24	2026-02-01 22:41:28
1213142145201270	Fix alignment indent (comp it in photoshop after other fixes)	Completed			File System	Unassigned			2026-02-05 17:17:17	2026-02-06 18:14:14
1213070073876331	Optimize folder view spacing	Completed			File System	Unassigned		Issue: We need to tighten up vertical spacing, I don't need last edited time in the folder view you can put it in the preview window under the title.\n\nChanges Required:\n\n    Reduce vertical spacing between items in folder view\n    Remove "last edited" timestamp from folder view\n    Move "last edited" information to preview window, positioned under the title\n\nExpected Behavior: More compact folder view with cleaner information hierarchy.	2026-02-01 15:49:03	2026-02-05 22:26:45
1213142145201273	When renaming a project or saving  it jumps out of the container folder	Completed		Bug	File System	Unassigned			2026-02-05 17:39:27	2026-02-06 18:14:12
1213142138288912	create New folders should appear on top of the stack	Completed			File System	Unassigned			2026-02-05 16:15:00	2026-02-06 18:14:18
1213142138288924	drag and drop folder and layer	Completed			File System	Unassigned		should be improved show a line where I will drop project or highlight the folder to drop in a folder if it is collapsed	2026-02-05 16:47:13	2026-02-06 18:14:15
1213070073876381	remove date from file folder layer view, add to canvas preview area under title	Completed			File System	Unassigned			2026-02-01 16:22:36	2026-02-06 18:14:21
1213070073876335	Restore keyframe property copy/paste	Completed			General	Unassigned		Feature Request: Bring back copy keyframe properties paste keyframe properties.\n\nContext: This functionality appears to have been removed or is currently missing from the Properties panel.\n\nExpected Behavior: \n\n    Users should be able to copy properties from one keyframe\n    Paste those properties to other keyframes\n    Maintain all property values and settings during copy/paste operation	2026-02-01 15:49:04	2026-02-06 18:15:01
1213387118254139	new folder bug, cant move cant rename	Completed			General	Unassigned			2026-02-22 20:01:30	2026-02-23 09:19:09
1213103523813977	Allow Style settings in group to over ride or change  settings for all contained layers	Completed			Timeline	Unassigned			2026-02-03 18:32:29	2026-02-05 16:29:25
1213070073876284	Allow first keyframe repositioning	Completed			Timeline	Unassigned		Issue: I should be able to move the first keyframe before it is the first keyframe of a layer timeline bar.\n\nExpected Behavior: First keyframe should be moveable to any position on the timeline, allowing for flexible timeline arrangement.	2026-02-01 15:46:20	2026-02-05 16:29:29
1213070073876288	Cross-project layer copy/paste	Completed			Timeline	Unassigned		Feature Request: Allow for copy pasting of layers and groups across projects.\n\nContext: Basic copy/paste functionality for layers and groups within projects is already implemented. Need to extend this capability to work between different projects.\n\nExpected Behavior: Users should be able to copy layers/groups from one project and paste them into another project.	2026-02-01 15:46:21	2026-02-05 16:29:31
1213070073876286	Double-click keyframe creation	Completed			Timeline	Unassigned		Issue: I should be able to double click anywhere on timeline to add a second keyframe (currently I need to move the timeline scrubber to be able to do it).\n\nAdditional Requirement: Timeline position line should move to where double click occurred.\n\nExpected Behavior: Double-clicking any timeline position should create a keyframe at that exact location and move the scrubber there.\n\nDouble clicking on an existing keyframe should remove it	2026-02-01 15:46:20	2026-02-03 18:07:05
1213070073876292	Fix end frame behavior issues	Completed			Timeline	Unassigned		Issue: There is some wonky behavior with the end frames (stress test required).\n\nSpecific Problems:\n\n    Last frame isn't working as expected\n    I should be able to move first frame\n    The only way to resize the layer bar should be by moving the first or last frame\n\nAction Required: Conduct stress testing to identify and resolve end frame manipulation issues.	2026-02-01 15:46:21	2026-02-03 18:07:08
1213070073876290	Fix loop mode keyframe editing	Completed			Timeline	Unassigned		Issue: Selecting loop on a layer makes editing the last key frame not possible.\n\nProposed Solution: Move the loop icon on the layer to the left of the drag icon (folder column).\n\nExpected Behavior: When loop mode is enabled, users should still be able to edit the last keyframe. Moving the loop icon should resolve UI conflicts.	2026-02-01 15:46:21	2026-02-03 17:55:45
1213103502476649	Fix looping of layer	Completed			Timeline	Unassigned			2026-02-03 17:06:25	2026-02-03 18:06:54
1213103523813974	There is a big where when I ed	Completed			Timeline	Unassigned			2026-02-03 18:32:16	2026-02-06 18:15:54
1213103523813980	layer order doesn't affect canvas	Completed			Timeline	Unassigned			2026-02-03 20:32:58	2026-02-03 20:33:11
1213103502476646	restore double click to add and remove keyframes	Completed			Timeline	Unassigned			2026-02-03 17:06:11	2026-02-03 18:07:45
43fda07e-34c8-4f39-b8f1-6fec3979fbe4		Completed							2026-04-26 13:47:56	
1213589928739629	3D Aminos dont' fill in color	Completed				Alexa			2026-03-10 10:27:05	2026-03-24 22:29:59
1213070073876348	Add icosahedron shape support	Completed				Unassigned		Enhancement: Add ability to add icosahedrons.\n\nExpected Behavior: Users should be able to create icosahedron shapes as part of the available geometry options in the editor.	2026-02-01 15:50:21	2026-02-05 22:26:09
1213070073876352	Add layer grouping with animation support	Completed				Unassigned		Enhancement: Ability to group layers of shapes and apply animation and keyframes, groups should be collapsible in the layer/timeline panel.\n\nExpected Behavior: \n\n    Users can select multiple layers and group them\n    Groups can have their own animations and keyframes applied\n    Groups appear as collapsible items in the layer/timeline panel\n    Nested animation hierarchy support	2026-02-01 15:50:22	2026-02-05 22:25:52
1213070073876315	Add properties to groups	Completed				Unassigned		Task: Add properties to groups.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Group objects should have their own property panels and settings, similar to individual layers.	2026-02-01 15:47:05	2026-02-01 15:47:37
1213783121489120	Call shapes used as part of Jason file	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:28:23	2026-04-22 18:47:50
1213422326879711	Copy pasting between tabs is not working precisely (fix)	Completed				Unassigned			2026-02-24 12:55:11	2026-04-22 18:48:36
1213589928739641	Create a circle of astrological signs	Completed				Alexa			2026-03-10 10:41:39	2026-03-17 09:23:59
1213589928739635	Create a circle of iching	Completed				Alexa			2026-03-10 10:41:22	2026-03-17 09:23:56
1213589928739638	Create of aminoacids from SVGS	Completed				Alexa			2026-03-10 10:41:31	2026-03-17 09:23:58
1213387118254130	Current behavior over rides AFTER but doesn't apply to new layers	Completed				Unassigned	Set Default Colors  and lines for new layers in Project Settings		2026-02-22 19:09:27	2026-04-22 18:44:10
1213070073876321	Fix position property timing	Completed				Unassigned		Task: Position Y and X should apply before instances repetition.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: When using instance repetition, position transformations should be calculated and applied before the repetition occurs, not after.	2026-02-01 15:47:06	2026-02-01 15:47:29
1213589928739632	I need to be able to add complex SVGs not single line	Completed				Alexa			2026-03-10 10:27:14	2026-03-10 15:16:29
1213070073876364	Improve line pulldown visual	Completed				Unassigned		Polish: Line pulldown swap to graphic 0---0---0 for center start middle.\n\nExpected Behavior: Replace text-based line alignment options with a visual graphic showing three connected points (0---0---0) to represent center, start, and middle alignment options.	2026-02-01 15:50:24	2026-02-01 15:52:23
1213783121489121	In export sepeerate out all pdifferent shapes into different JS files	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:28:48	2026-04-22 18:43:23
1213070073876319	Kill header play button	Completed				Unassigned		Task: Kill header "play" button.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Remove the play button from the header area (likely replaced by the improved play button mentioned in previous tasks).	2026-02-01 15:47:05	2026-02-01 15:47:31
local-1776956514275-453925	Make background on thumbnails of uploaded svg files 50% gray	Completed				Unassigned			2026-04-23 15:01:54	2026-04-25 15:06:31
1213070073876317	Remove master timeline bar	Completed				Unassigned		Task: Remove the "master" timeline bar, it's not needed.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Master timeline bar should be removed from the interface to simplify the timeline view.	2026-02-01 15:47:05	2026-02-01 15:47:32
